year,month,emp.var.rate,cons.price.idx,cons.conf.idx,nr.employed,euribor3m
2008,may,1.1,93.994,-36.4,5191,4.858 
2008,jun,1.4,94.465,-41.8,5228.1,4.932 
2008,jul,1.4,93.918,-42.7,5228.1,4.962 
2008,aug,1.4,93.444,-36.1,5228.1,4.965 
2008,oct,-0.1,93.798,-40.4,5195.8,4.924 
2008,nov,-0.1,93.2,-42,5195.8,4.115 
2008,dec,-0.2,92.756,-45.9,5176.3,3.493 
2009,mar,-1.8,92.843,-50,5099.1,1.646 
2009,apr,-1.8,93.075,-47.1,5099.1,1.412 
2009,may,-1.8,92.893,-46.2,5099.1,1.294 
2009,jun,-2.9,92.963,-40.8,5076.2,1.258 
2009,jul,-2.9,92.469,-33.6,5076.2,1.025 
2009,aug,-2.9,92.201,-31.4,5076.2,0.866 
2009,sep,-3.4,92.379,-29.8,5017.5,0.783 
2009,oct,-3.4,92.431,-26.9,5017.5,0.735 
2009,nov,-3.4,92.649,-30.1,5017.5,0.716 
2009,dec,-3,92.713,-33,5023.5,0.713 
2010,mar,-1.8,93.369,-34.8,5008.7,0.646 
2010,apr,-1.8,93.749,-34.6,5008.7,0.646 
2010,may,-1.8,93.876,-40,5008.7,0.686 
2010,jun,-1.7,94.055,-39.8,4991.6,0.733 
2010,jul,-1.7,94.215,-40.3,4991.6,0.850 
2010,aug,-1.7,94.027,-38.3,4991.6,0.899 
2010,sep,-1.1,94.199,-37.5,4963.6,0.880 
2010,oct,-1.1,94.601,-49.5,4963.6,0.995 
2010,nov,-1.1,94.767,-50.8,4963.6,1.042 
